submission_id,F1,F1_NP,F1_NPforms,F2,F2_matchness,F2_visual,List,Predicate,acceptability,age,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemNr,languages,practice,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialNR
986,,definiteP,,,,colorGrouped,3,NA,NA,44,,Higher degree,308276,1744577699236,1744577390960,male,801,English,87,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,9276,0
986,,definiteP,,,,notGrouped,3,NA,NA,44,,Higher degree,308276,1744577699236,1744577390960,male,802,English,60,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,7449,1
986,,definiteP,,,,randomGrouped,3,NA,NA,44,,Higher degree,308276,1744577699236,1744577390960,male,803,English,80,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,5196,2
986,,some,,,,notGrouped,3,grouped,1,44,,Higher degree,308276,1744577699236,1744577390960,male,918,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,11942,0
986,,some,,,,notGrouped,3,grouped,1,44,,Higher degree,308276,1744577699236,1744577390960,male,914,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,6426,1
986,,definiteP,,,,randomGrouped,3,grouped,81,44,,Higher degree,308276,1744577699236,1744577390960,male,15,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,4975,2
986,,definiteP,,,,randomGrouped,3,grouped,81,44,,Higher degree,308276,1744577699236,1744577390960,male,3,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,5780,3
986,,all,,,,notGrouped,3,grouped,1,44,,Higher degree,308276,1744577699236,1744577390960,male,913,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,11235,4
986,,some,,,,notGrouped,3,grouped,1,44,,Higher degree,308276,1744577699236,1744577390960,male,924,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,5740,5
986,,definiteP,,,,randomGrouped,3,grouped,57,44,,Higher degree,308276,1744577699236,1744577390960,male,72,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,4934,6
986,,definiteP,,,,randomGrouped,3,grouped,66,44,,Higher degree,308276,1744577699236,1744577390960,male,60,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,3988,7
986,,definiteP,,,,randomGrouped,3,grouped,80,44,,Higher degree,308276,1744577699236,1744577390960,male,54,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,4787,8
986,,all,,,,notGrouped,3,grouped,1,44,,Higher degree,308276,1744577699236,1744577390960,male,919,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,5036,9
986,,all,,,,notGrouped,3,grouped,1,44,,Higher degree,308276,1744577699236,1744577390960,male,915,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,5133,10
986,,definiteP,,,,randomGrouped,3,grouped,73,44,,Higher degree,308276,1744577699236,1744577390960,male,24,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,4493,11
986,,some,,,,notGrouped,3,grouped,100,44,,Higher degree,308276,1744577699236,1744577390960,male,908,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,5441,12
986,,definiteP,,,,randomGrouped,3,grouped,86,44,,Higher degree,308276,1744577699236,1744577390960,male,9,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,4511,13
986,,definiteP,,,,randomGrouped,3,grouped,58,44,,Higher degree,308276,1744577699236,1744577390960,male,57,English,NA,5adc2601dee8590001b01ba1,67fc2363a7ce212d1c21dc3f,67fbf30bdf2f72687c02dea8,4373,14
